time,RCC_HMI,systemd,dbus-daemon,procbase_out.ou,mmcqd/1,systemd-udevd,dbus-monitor,systemctl,fc_bluetooth_ou,ccamediaplayer_,proctuner_out.o,procaudio_out.o,sshd,systemd-cgroups,systemd-readahe,fc_phone_out.ou,fc_phonebook_ou,fc_messaging_ou,spi0,fc_vehiclefuncm,EngMode,TactileTest,acl_tuner_out.o,dlt-daemon,udevadm,procdiagnosis_o,AudioManager,vd_early_out.ou,cat,ksoftirqd/0,mount,fc_engineeringm,acl_settings_ou,irq/66-2014000.,mkadc_testlink.,spi1,SSI32,mkadc_symlink.s,vd_devicemanage,LayerManagerSer,kworker/0:1H,procdimming_out,systemd-journal,kmodule_loader,fc_dataservices,modprobe,playerengine_ou,acl_phone_out.o,bluetoothservic,app_fcswupdate_,procinput_out.o,rcu_preempt,mediaengine_out,audio_master_ou,acl_media_out.o,procmw_out.out,climate_out.out,chown,acl_connectivit,vd_ipodauth_out,procdiaglog_out,acl_climate_out,kthreadd,automounter,fc_connect_out.,fc_alert_out.ou,chmod,trace_dlt_be,fc_cdplayer_out,fc_servicemanag,irq/63-2008000.,sh,fc_obc_out.out,csm_proc_out.ou,acl_obc_out.out,fc_hybrid_out.o,app_screentest_,network.sh,appcontrol_out.,connmand,fc_vpas_out.out,acl_parkingaid_,grep,displaymanager_,acl_audio_out.o,acl_drive_out.o,acl_update_out.,acl_hybrid_out.,modify_gpio_adc,fc_usb_out.out,fc_atb_out.out,rm,screencalibrati,acl_alert_out.o,fc_exportservic,usermanagement_,ecnr_out.out,fc_clock_out.ou,acl_speedcontro,swu_common_lcm_,Misc
2.5,0,0.30349128,0,0,0.09020784,0.1015515,0,0,0,0,0,0,0,0.03881576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05952294,0,0.01030008,0,0,0,0,0,0,0,0,0,0,0.01078818,0,0,0,0,0.06094242,0,0,0,0,0,0.00414516,0,0,0,0,0,0,0,0,0,0,0.00028764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298109
2.75,0,0.0979797,0,0,0.08936322,0.1231821,0,0,0,0,0,0,0,0.10691556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12668532,0.04581834,0.0047373,0,0,0,0.02489442,0,0.01476588,0.00657288,0,0,0,0.01059696,0,0,0,0,0.0773865,0,0,0,0,0,0.00396288,0,0,0,0,0,0,0,0,0,0,0.00492582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26221312
3,0,0.10013592,0,0,0.07615332,0.27531526,0,0,0,0,0,0,0,0.05981436,0.09532452,0,0,0,0,0,0,0,0,0,0,0,0,0.09794628,0,0.00427266,0,0,0,0,0,0.0323619,0.00913746,0,0,0,0.00726078,0,0,0,0,0.08572278,0,0,0,0,0,0.0041058,0,0,0,0,0,0,0,0,0,0,0.00194136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1505076
3.25,0,0.09788886,0,0,0.0964032,0.27268052,0,0,0,0,0,0,0,0.0078159,0.09801372,0,0,0,0.00096756,0,0,0,0,0,0,0,0,0.07367226,0,0.00763122,0,0,0,0,0,0.03520632,0.01277466,0,0,0,0.0090417,0,0,0,0,0.0234684,0,0,0,0,0,0.00495804,0,0,0,0,0,0,0,0,0,0,0.01754502,0,0,0,0,0,0,0,0.00035364,0,0,0,0,0,0,0.0472626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19431638
3.5,0,0.08137686,0,0,0.07996554,0.30415782,0,0,0,0,0,0,0,0.05317728,0.0920649,0,0,0,0.00226266,0,0,0,0,0,0,0,0,0,0,0.00526512,0,0,0,0,0,0.00801798,0.00272658,0.04308936,0,0,0.00739356,0,0,0,0,0.0039765,0,0,0,0,0,0.00462108,0,0,0,0,0,0,0,0,0,0,0.00962124,0,0,0,0,0,0,0,0.00070842,0.06285732,0,0,0,0,0,0.04554978,0,0,0,0,0.06496362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12820438
3.75,0,0.07151484,0,0,0.1046553,0.13010646,0,0,0,0,0,0,0,0.0569388,0.06758718,0,0,0,0.0035283,0,0,0,0,0,0,0,0,0,0.0729466,0.00528708,0,0,0,0,0.02357292,0.00149538,0.00180162,0.42458778,0,0,0.01589472,0,0,0,0,0,0,0,0,0,0,0.00490674,0,0,0,0,0,0,0,0,0,0,0.0008016,0,0,0,0,0,0,0,0.00131706,0.0001665,0,0,0,0,0,0.00902322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038679
4,0,0.06156438,0,0,0.1163094,0.06924252,0,0,0,0,0,0,0,0.00380856,0.07563978,0,0,0,0.0024585,0,0,0,0,0,0,0,0,0,0.21859928,0.00434958,0,0,0,0,0.35374862,0,0.00092448,0.07229424,0,0,0.01536048,0,0,0,0,0,0,0,0,0,0,0.00403626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096438
4.25,0,0.18656388,0,0,0.1619817,0.0697152,0,0,0,0,0,0,0,0.01024638,0.20132592,0,0,0,0.0050538,0,0,0,0,0,0,0,0,0,0.14619636,0.00734286,0,0,0,0,0.18422602,0.00140934,0.00261642,0,0,0,0.01669344,0,0,0,0,0,0,0,0,0,0,0.00470376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030702
4.5,0,0.10405746,0,0,0.2932626,0,0,0,0,0,0,0,0,0,0.13705098,0,0,0,0.01019868,0,0,0,0,0.0680094,0,0,0,0,0,0.00321192,0,0,0,0,0,0,0.00449796,0,0,0.25646392,0.056637,0,0,0,0,0,0,0,0,0,0,0.00508734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05813892,0,0,0.00338382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.75,0,0.05423592,0,0,0.11631416,0,0,0,0,0,0,0,0,0.0503667,0.07750908,0,0,0,0.00431808,0,0,0,0,0.06675294,0,0,0,0.02250984,0,0.00255984,0,0,0,0,0,0.00128442,0.00231858,0,0,0.3563825,0.0188646,0,0,0,0,0,0,0,0,0,0,0.00296604,0,0,0,0,0,0,0,0,0,0,0.00041532,0,0,0,0,0.0626319,0,0,0.0014133,0.04252656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11663022
